case_id,symptom,topology_note,concept_tag,severity,show_outputs,expected_fault,osi_layer
NET-001,"PC1 cannot communicate with PC2","Both PCs should belong to VLAN 10 on Switch1.","VLAN","Medium","show vlan brief: Fa0/2 VLAN10; Fa0/3 VLAN20","PC2 access port is assigned to the wrong VLAN","Layer 2"
NET-002,"PC1 cannot reach the VLAN20 gateway","Router-on-a-stick is configured between Router1 and Switch1.","Inter-VLAN Routing","High","show ip interface brief: G0/0.20 192.168.20.1 administratively down","VLAN20 router subinterface is shut down","Layer 3"
NET-003,"PC2 receives an IP but cannot ping its gateway","PC2 is configured for VLAN20.","Default Gateway","High","PC IP 192.168.20.25/24; default gateway 192.168.10.1","Host has the wrong default gateway","Layer 3"
NET-004,"PC3 cannot communicate with the server in another VLAN","Server is connected to VLAN30.","Inter-VLAN Routing","High","show running-config: interface G0/0.30; encapsulation dot1Q 20","Router subinterface has the wrong VLAN encapsulation ID","Layer 2"
NET-005,"VLAN20 traffic disappears between two switches","Switch1 and Switch2 are connected through Gi0/1.","Trunking","High","show interfaces trunk: Gi0/1 trunking; allowed VLANs 10,30","VLAN20 is missing from the trunk allowed list","Layer 2"
NET-006,"A newly configured VLAN does not appear on the switch","VLAN50 should be used by the lab PCs.","VLAN Database","Medium","show vlan brief: VLANs 10,20,30,40; VLAN50 absent","Required VLAN was never created","Layer 2"
NET-007,"PC4 loses connectivity after changing its switch port","PC4 should use an access port in VLAN10.","Switch Port Configuration","Medium","show running-config interface Fa0/7: switchport mode trunk","PC access port was incorrectly configured as a trunk","Layer 2"
NET-008,"PC5 cannot access the network","PC5 is connected to Switch1 Fa0/8.","Interface Status","High","show interfaces status: Fa0/8 disabled","PC5's switch interface is administratively disabled","Layer 2"
NET-009,"PC6 cannot communicate after connecting to a new switch","The new switch connects to the existing LAN.","Trunking","High","show interfaces trunk: no trunk ports displayed","Inter-switch link is operating as an access port instead of a trunk","Layer 2"
NET-010,"PC7 receives an address but cannot contact the DHCP gateway","DHCP is configured on Router1 for VLAN20.","DHCP","High","show ip dhcp pool: Default gateway 192.168.30.1","DHCP pool specifies an incorrect default-router address","Layer 7"
NET-011,"PC8 automatically receives a 169.254.x.x address","PC8 belongs to VLAN30 and uses centralized DHCP.","DHCP Relay","High","show running-config interface G0/0.30: no ip helper-address","DHCP relay configuration is missing","Layer 7"
NET-012,"Only VLAN10 clients receive DHCP addresses","Router provides DHCP pools for VLAN10 and VLAN20.","DHCP Pool","High","show ip dhcp pool: VLAN20 pool missing","DHCP pool for VLAN20 has not been configured","Layer 7"
NET-013,"DHCP server is reachable but clients still receive no address","DHCP server is located on another subnet.","DHCP Relay","High","show running-config interface G0/0.40: ip helper-address 192.168.10.20","ip helper-address points to an incorrect DHCP server address","Layer 7"
NET-014,"Some DHCP clients receive addresses outside the intended range","VLAN10 uses addresses from 192.168.10.0/24.","DHCP Exclusion","Medium","show ip dhcp binding: 192.168.10.1 assigned to a client","Router gateway address was not excluded from the DHCP pool","Layer 7"
NET-015,"PC9 can ping the DNS server but cannot resolve names","DNS server is connected to VLAN30.","DNS","Medium","nslookup: DNS server timeout","PC is configured with an incorrect DNS server address","Layer 7"
NET-016,"Users can access websites by IP but not by domain name","Internet connectivity through the router is working.","DNS","Medium","ipconfig /all: DNS Server 192.168.50.50; actual DNS server 192.168.30.5","Incorrect DNS server address configured on the client","Layer 7"
NET-017,"Router cannot reach a remote LAN","R1 connects to R2 through a serial link.","Static Routing","High","show ip route: 192.168.40.0/24 not found","Static route to the remote LAN is missing","Layer 3"
NET-018,"Remote users can reach HQ but HQ cannot reach remote users","Two routers use manually configured static routes.","Static Routing","High","R2 routing table contains 192.168.10.0/24; R1 has no route to 192.168.40.0/24","Return route is missing on the HQ router","Layer 3"
NET-019,"OSPF adjacency does not form between two routers","R1 and R2 share the 10.0.0.0/30 network.","OSPF","High","show ip ospf neighbor: empty; show ip protocols: OSPF not enabled","OSPF is not enabled on the connected interface/network","Layer 3"
NET-020,"OSPF neighbor remains in an incorrect state","R1 and R2 should form an adjacency.","OSPF","High","show ip ospf interface: R1 hello 10 sec; R2 hello 30 sec","OSPF hello and dead timers do not match","Layer 3"
NET-021,"PC10 can ping the server but cannot use HTTPS","An ACL protects the server VLAN.","ACL","High","show access-lists: deny tcp any host 192.168.30.10 eq 443","ACL blocks HTTPS traffic to the server","Layer 4"
NET-022,"Management PC cannot remotely access the router","SSH is required for device administration.","ACL","High","show access-lists: deny tcp 192.168.10.0 0.0.0.255 any eq 22","ACL blocks SSH traffic","Layer 4"
NET-023,"Guest VLAN can access the internal database server","Guest users should have Internet-only access.","ACL","Critical","show access-lists: permit ip 192.168.50.0 0.0.0.255 192.168.30.0 0.0.0.255","ACL incorrectly permits guest-to-server traffic","Layer 3"
NET-024,"ICMP from the monitoring PC to a router interface fails","Monitoring traffic should be allowed through the ACL.","ACL","Medium","show access-lists: deny icmp host 192.168.10.50 any","ACL blocks ICMP monitoring traffic","Layer 3"
NET-025,"Internal PCs cannot access the Internet after NAT configuration","LAN uses 192.168.10.0/24 and connects to an ISP router.","NAT","High","show ip nat translations: empty; show running-config: ip nat inside configured on both interfaces","NAT inside/outside roles are incorrectly configured","Layer 3"
NET-026,"Internet access works for one subnet but not another","Router performs PAT for multiple VLANs.","PAT","High","access-list 5 permits 192.168.10.0 0.0.0.255; VLAN20 uses 192.168.20.0/24","NAT ACL does not include VLAN20","Layer 3"
NET-027,"Wireless clients connect to the SSID but cannot obtain an IP address","Access point connects to VLAN40.","Wireless DHCP","High","show vlan brief: AP switch port in VLAN1; wireless network uses VLAN40","Access point is connected to the wrong VLAN","Layer 2"
NET-028,"Wireless users can connect but cannot reach the gateway","SSID is configured for the student network.","Wireless VLAN","High","show running-config interface Fa0/18: switchport access vlan 10; SSID mapped to VLAN40","AP switch port is assigned to the wrong access VLAN","Layer 2"
NET-029,"Guest wireless users can access each other despite isolation policy","Guest clients should be isolated from one another.","Wireless Security","Medium","AP configuration: client isolation disabled","Wireless client isolation is disabled","Layer 2"
NET-030,"Wireless clients receive addresses but cannot access the Internet","Guest wireless network uses VLAN50 and the router provides Internet access.","Wireless Routing","High","show ip route: 192.168.50.0/24 connected; no 0.0.0.0/0 route","Default route to the ISP is missing","Layer 3"
