case_id,status,predicted,expected,predicted_category,expected_category,confidence,error
NET-001,CORRECT,"Fa0/3 is assigned to VLAN20, while VLAN10 is expected.",PC2 access port is assigned to the wrong VLAN,VLAN_MISMATCH,VLAN_MISMATCH,High,
NET-002,CORRECT,G0/0.20 is administratively down.,VLAN20 router subinterface is shut down,INTERFACE_SHUTDOWN,INTERFACE_SHUTDOWN,High,
NET-003,CORRECT,Host 192.168.20.25 and gateway 192.168.10.1 appear to belong to different /24 networks.,Host has the wrong default gateway,GATEWAY_MISMATCH,GATEWAY_MISMATCH,High,
NET-004,CORRECT,incorrect VLAN encapsulation ID,Router subinterface has the wrong VLAN encapsulation ID,ENCAPSULATION,ENCAPSULATION,High,
NET-005,CORRECT,VLAN20 is missing from the trunk allowed list.,VLAN20 is missing from the trunk allowed list,TRUNK_ALLOWED_VLAN,TRUNK_ALLOWED_VLAN,High,
NET-006,CORRECT,VLAN 50 appears to be missing.,Required VLAN was never created,MISSING_VLAN,MISSING_VLAN,High,
NET-007,CORRECT,PC access port was incorrectly configured as a trunk.,PC access port was incorrectly configured as a trunk,TRUNK_MODE,TRUNK_MODE,High,
NET-008,CORRECT,Fa0/8 is administratively disabled.,PC5's switch interface is administratively disabled,INTERFACE_SHUTDOWN,INTERFACE_SHUTDOWN,High,
NET-009,CORRECT,Inter-switch link is operating as an access port instead of a trunk.,Inter-switch link is operating as an access port instead of a trunk,TRUNK_MODE,TRUNK_MODE,High,
NET-010,CORRECT,DHCP pool specifies an incorrect default-router address.,DHCP pool specifies an incorrect default-router address,DHCP_DEFAULT_ROUTER,DHCP_DEFAULT_ROUTER,High,
NET-011,CORRECT,missing ip helper-address,DHCP relay configuration is missing,DHCP_RELAY_MISSING,DHCP_RELAY_MISSING,High,
NET-012,CORRECT,DHCP Pool,DHCP pool for VLAN20 has not been configured,DHCP_POOL,DHCP_POOL,High,
NET-013,CORRECT,ip helper-address points to an incorrect DHCP server address: 192.168.10.20.,ip helper-address points to an incorrect DHCP server address,DHCP_RELAY_WRONG,DHCP_RELAY_WRONG,High,
NET-014,CORRECT,DHCP Exclusion,Router gateway address was not excluded from the DHCP pool,DHCP_EXCLUSION,DHCP_EXCLUSION,High,
NET-015,CORRECT,DNS server address is incorrect,PC is configured with an incorrect DNS server address,DNS_WRONG_SERVER,DNS_WRONG_SERVER,High,
NET-016,CORRECT,DNS Server not responding,Incorrect DNS server address configured on the client,DNS_WRONG_SERVER,DNS_WRONG_SERVER,High,
NET-017,CORRECT,Static route to the remote LAN is missing.,Static route to the remote LAN is missing,STATIC_ROUTE,STATIC_ROUTE,High,
NET-018,CORRECT,Return route is missing on the HQ router.,Return route is missing on the HQ router,RETURN_ROUTE,RETURN_ROUTE,High,
NET-019,CORRECT,OSPF is not enabled on the connected interface/network.,OSPF is not enabled on the connected interface/network,OSPF_DISABLED,OSPF_DISABLED,High,
NET-020,CORRECT,OSPF hello and dead timers do not match.,OSPF hello and dead timers do not match,OSPF_TIMERS,OSPF_TIMERS,High,
NET-021,CORRECT,ACL blocks HTTPS traffic to the server.,ACL blocks HTTPS traffic to the server,ACL_HTTPS,ACL_HTTPS,High,
NET-022,CORRECT,ACL blocks SSH traffic.,ACL blocks SSH traffic,ACL_SSH,ACL_SSH,High,
NET-023,CORRECT,ACL incorrectly permits guest-to-server traffic.,ACL incorrectly permits guest-to-server traffic,ACL_GUEST,ACL_GUEST,High,
NET-024,CORRECT,ACL blocks ICMP monitoring traffic.,ACL blocks ICMP monitoring traffic,ACL_ICMP,ACL_ICMP,High,
NET-025,CORRECT,NAT inside/outside roles are incorrectly configured.,NAT inside/outside roles are incorrectly configured,NAT_ROLES,NAT_ROLES,High,
NET-026,CORRECT,NAT ACL does not include VLAN20.,NAT ACL does not include VLAN20,NAT_VLAN20,NAT_VLAN20,High,
NET-027,CORRECT,Access point is connected to the wrong VLAN.,Access point is connected to the wrong VLAN,WIRELESS_WRONG_VLAN,WIRELESS_WRONG_VLAN,High,
NET-028,CORRECT,Wireless VLAN,AP switch port is assigned to the wrong access VLAN,WIRELESS_ACCESS_VLAN,WIRELESS_ACCESS_VLAN,High,
NET-029,CORRECT,Wireless client isolation is disabled.,Wireless client isolation is disabled,WIRELESS_ISOLATION,WIRELESS_ISOLATION,High,
NET-030,CORRECT,Default route to the ISP is missing.,Default route to the ISP is missing,WIRELESS_DEFAULT_ROUTE,WIRELESS_DEFAULT_ROUTE,High,
